OG0012926.0	OG0001643.24	OG0001566.2	OG0001698.26	OG0000027.457
nan	0.0611069	1e-07	1e-07	0.00241394
OG0000011.1	OG0001960.2	OG0001348.24	OG0014643.4	OG0002120.0
1e-07	1e-07	1e-07	nan	1e-07
OG0000007.976	OG0001962.0	OG0000908.24	OG0018072.2	OG0000911.3
1e-07	1e-07	1e-07	nan	1e-07
OG0000026.45	OG0000473.17	OG0000724.26	OG0001324.24	OG0014172.0
0.0118876	1e-07	1e-07	1e-07	nan
OG0000010.475	OG0003341.0	OG0001723.0	OG0001450.26	OG0001766.6
1e-07	nan	0.0625342	1e-07	1e-07
OG0015186.2	OG0001488.22	OG0001567.1	OG0000853.1	OG0000056.0
nan	1e-07	0.0733554	1e-07	1e-07
OG0008707.0	OG0000698.19	OG0000931.1	OG0001286.24	OG0000038.0
nan	1e-07	1e-07	1e-07	0.015377100000000001
OG0001315.24	OG0001292.1	OG0018076.2	OG0000459.0	OG0000056.0
1e-07	1e-07	nan	0.0101366	1e-07
OG0000886.24	OG0000001.1420	OG0000042.23	OG0017858.0	OG0002007.0
1e-07	1e-07	1e-07	nan	1e-07
OG0000010.475	OG0002252.0	OG0001032.24	OG0001573.24	OG0021460.0
1e-07	1e-07	1e-07	1e-07	nan
OG0001226.24	OG0000678.1	OG0002123.0	OG0000082.1	OG0014722.4
1e-07	1e-07	1e-07	0.05813009999999999	nan
OG0002077.0	OG0007293.0	OG0000032.252	OG0000854.30	OG0000677.1
1e-07	nan	1e-07	1e-07	1e-07
OG0002079.0	OG0006927.0	OG0000780.24	OG0000001.1420	OG0001958.0
1e-07	nan	1e-07	1e-07	1e-07
OG0001061.24	OG0001157.1	OG0000018.289	OG0015279.0	OG0002094.0
1e-07	1e-07	1e-07	nan	1e-07
OG0001819.6	OG0000026.45	OG0001942.0	OG0001361.1	OG0010880.0
1e-07	0.0118876	1e-07	1e-07	nan
OG0014816.4	OG0001870.2	OG0000038.0	OG0002145.0	OG0001355.24
nan	1e-07	0.015377100000000001	1e-07	1e-07
OG0000010.475	OG0000396.79	OG0001093.24	OG0001993.0	OG0006773.2
1e-07	1e-07	1e-07	1e-07	nan
OG0000010.475	OG0000501.29	OG0013950.6	OG0001886.0	OG0001172.24
1e-07	1e-07	nan	1e-07	1e-07
OG0000054.0	OG0008252.2	OG0000441.96	OG0001351.24	OG0001912.0
1e-07	nan	1e-07	1e-07	1e-07
OG0001228.1	OG0001150.24	OG0018392.0	OG0000892.1	OG0000082.1
1e-07	1e-07	nan	1e-07	0.05813009999999999
OG0002066.0	OG0011886.0	OG0001162.22	OG0000082.1	OG0001102.24
1e-07	nan	1e-07	0.05813009999999999	1e-07
OG0002186.0	OG0001090.26	OG0008230.0	OG0000082.1	OG0001073.24
1e-07	1e-07	nan	0.05813009999999999	1e-07
OG0000620.56	OG0001546.1	OG0001519.24	OG0012705.8	OG0000012.918
1e-07	1e-07	1e-07	nan	0.00988241
OG0000010.475	OG0001023.7	OG0014661.1	OG0001236.24	OG0001156.1
1e-07	1e-07	nan	1e-07	1e-07
OG0001299.24	OG0000002.1788	OG0000704.0	OG0017978.2	OG0001959.2
1e-07	1e-07	1e-07	nan	1e-07
OG0013202.0	OG0000011.1	OG0001303.26	OG0001408.24	OG0001434.24
nan	1e-07	1e-07	1e-07	1e-07
OG0000479.1	OG0000038.0	OG0000728.24	OG0001235.24	OG0014687.1
1e-07	0.015377100000000001	1e-07	1e-07	nan
OG0001061.24	OG0014593.0	OG0002128.0	OG0000964.2	OG0000006.561
1e-07	nan	1e-07	1e-07	0.00745715
OG0000797.20	OG0000038.0	OG0000954.24	OG0013173.1	OG0002153.0
0.0185863	0.015377100000000001	1e-07	nan	1e-07
OG0000007.976	OG0000830.1	OG0015387.0	OG0002087.0	OG0001123.1
1e-07	1e-07	nan	1e-07	1e-07
OG0001408.24	OG0021967.0	OG0000038.0	OG0001737.0	OG0001180.24
1e-07	nan	0.015377100000000001	1e-07	1e-07
OG0001334.24	OG0001935.0	OG0000038.0	OG0001866.0	OG0007320.10
1e-07	1e-07	0.015377100000000001	1e-07	nan
OG0000372.92	OG0001937.2	OG0000026.45	OG0010528.1	OG0001335.24
1e-07	1e-07	0.0118876	nan	1e-07
OG0002211.0	OG0002048.0	OG0001593.20	OG0010676.1	OG0000006.561
1e-07	1e-07	1e-07	nan	0.00745715
OG0000007.976	OG0001921.0	OG0000149.1	OG0001423.30	OG0002023.0
1e-07	1e-07	nan	1e-07	1e-07
OG0009269.4	OG0001256.24	OG0000082.1	OG0002082.0	OG0001849.0
nan	1e-07	0.05813009999999999	1e-07	1e-07
OG0001363.24	OG0008282.0	OG0000428.54	OG0000038.0	OG0002243.0
1e-07	nan	1e-07	0.015377100000000001	1e-07
OG0000011.1	OG0001216.24	OG0001221.1	OG0021380.0	OG0001878.2
1e-07	1e-07	1e-07	nan	0.015247899999999998
OG0000007.976	OG0001214.2	OG0002054.0	OG0002039.0	OG0015982.2
1e-07	0.0491681	1e-07	1e-07	nan
OG0000007.976	OG0013470.1	OG0001238.24	OG0001062.24	OG0001849.0
1e-07	nan	1e-07	1e-07	1e-07
OG0022253.0	OG0000002.1788	OG0001078.24	OG0001832.1	OG0001428.1
nan	1e-07	1e-07	1e-07	1e-07
OG0007301.2	OG0001870.2	OG0001082.24	OG0000617.25	OG0000018.289
nan	1e-07	1e-07	1e-07	1e-07
OG0001345.24	OG0014592.0	OG0000886.24	OG0002158.0	OG0000026.45
1e-07	nan	1e-07	1e-07	0.0118876
OG0000704.0	OG0001166.24	OG0008079.18	OG0001450.26	OG0000056.0
1e-07	1e-07	nan	1e-07	1e-07
OG0000713.24	OG0000522.0	OG0000018.289	OG0002321.0	OG0019431.0
1e-07	0.014519299999999999	1e-07	1e-07	nan
OG0002121.0	OG0001330.24	OG0000615.1	OG0000006.561	OG0014747.1
1e-07	1e-07	1e-07	0.00745715	nan
OG0000847.24	OG0001382.24	OG0000010.475	OG0016099.0	OG0001290.24
0.0122875	1e-07	1e-07	nan	1e-07
OG0002146.0	OG0008756.0	OG0001080.1	OG0001880.0	OG0000032.252
1e-07	nan	1e-07	1e-07	1e-07
OG0000007.976	OG0007857.4	OG0002129.0	OG0001182.24	OG0002218.0
1e-07	nan	1e-07	1e-07	1e-07
OG0000165.172	OG0014175.6	OG0001298.24	OG0000018.289	OG0001253.24
1e-07	nan	1e-07	1e-07	1e-07
OG0002035.0	OG0011970.0	OG0000834.30	OG0000082.1	OG0000925.1
1e-07	nan	1e-07	0.05813009999999999	0.015247899999999998
OG0001079.1	OG0020461.0	OG0002243.0	OG0000082.1	OG0001304.24
1e-07	nan	1e-07	0.05813009999999999	1e-07
OG0002150.0	OG0001403.24	OG0000846.25	OG0009043.0	OG0000032.252
1e-07	1e-07	1e-07	nan	1e-07
OG0002045.0	OG0005270.34	OG0000848.32	OG0000026.45	OG0001629.5
1e-07	nan	1e-07	0.0118876	0.0207296
OG0001413.1	OG0000010.475	OG0001403.24	OG0001492.24	OG0008059.4
1e-07	1e-07	1e-07	1e-07	nan
OG0001386.24	OG0000038.0	OG0002116.0	OG0016764.0	OG0000661.3
1e-07	0.015377100000000001	1e-07	nan	0.03956319999999999
OG0000007.976	OG0001176.24	OG0000236.122	OG0012651.6	OG0001180.24
1e-07	1e-07	0.0385336	nan	1e-07
OG0007769.0	OG0001059.24	OG0000977.1	OG0000032.252	OG0001164.24
nan	1e-07	1e-07	1e-07	1e-07
OG0001278.2	OG0000011.1	OG0000863.32	OG0002037.0	OG0012194.0
1e-07	1e-07	1e-07	1e-07	nan
OG0001546.1	OG0001495.2	OG0000026.45	OG0002013.0	OG0018965.0
1e-07	1e-07	0.0118876	1e-07	nan
OG0000732.24	OG0000983.28	OG0013872.4	OG0001271.1	OG0000018.289
1e-07	1e-07	nan	1e-07	1e-07
OG0001292.1	OG0000002.1788	OG0001853.0	OG0001132.24	OG0013603.0
1e-07	1e-07	0.0171954	1e-07	nan
OG0000292.93	OG0006965.6	OG0000975.0	OG0000675.1	OG0000012.918
1e-07	nan	1e-07	1e-07	0.00988241
OG0001921.0	OG0000011.1	OG0001303.26	OG0002176.0	OG0019378.0
1e-07	1e-07	1e-07	1e-07	nan
OG0000983.28	OG0001241.24	OG0000936.24	OG0000006.561	OG0014742.1
1e-07	1e-07	1e-07	0.00745715	nan
OG0001246.24	OG0020706.0	OG0000559.30	OG0000056.0	OG0000801.24
1e-07	nan	0.00534052	1e-07	0.0327092
OG0009046.12	OG0001357.24	OG0001328.24	OG0000006.561	OG0000901.0
nan	1e-07	1e-07	0.00745715	0.0180416
OG0000615.1	OG0001000.24	OG0001593.20	OG0014780.4	OG0000056.0
1e-07	1e-07	1e-07	nan	1e-07
OG0000002.1788	OG0001432.24	OG0001536.0	OG0002000.0	OG0016933.0
1e-07	1e-07	0.0139912	1e-07	nan
OG0000054.0	OG0000026.628	OG0000019.257	OG0001861.0	OG0016560.2
1e-07	1e-07	1e-07	1e-07	nan
OG0001486.1	OG0000010.475	OG0007934.0	OG0001830.6	OG0000925.1
1e-07	1e-07	nan	1e-07	0.015247899999999998
OG0001051.24	OG0000636.1	OG0000932.26	OG0000032.252	OG0007851.2
1e-07	0.0382416	1e-07	1e-07	nan
OG0001307.24	OG0013103.0	OG0000001.1420	OG0001245.24	OG0001346.24
1e-07	nan	1e-07	1e-07	1e-07
OG0000425.53	OG0014713.1	OG0000735.1	OG0001379.1	OG0000056.0
1e-07	nan	1e-07	1e-07	1e-07
OG0022029.0	OG0001815.3	OG0000018.289	OG0001111.22	OG0001883.0
nan	1e-07	1e-07	1e-07	1e-07
OG0000011.1	OG0007922.2	OG0000664.3	OG0001472.0	OG0000543.45
1e-07	nan	1e-07	1e-07	1e-07
OG0012745.4	OG0001212.24	OG0002043.0	OG0001040.1	OG0000032.252
nan	1e-07	1e-07	1e-07	1e-07
OG0001550.0	OG0007311.2	OG0001038.1	OG0002028.0	OG0000006.561
1e-07	nan	1e-07	1e-07	0.00745715
OG0014592.0	OG0001082.24	OG0000242.29	OG0000018.289	OG0001425.1
nan	1e-07	1e-07	1e-07	1e-07
OG0001366.26	OG0001418.30	OG0002053.0	OG0012936.4	OG0000082.1
1e-07	1e-07	1e-07	nan	0.05813009999999999
OG0001357.24	OG0001238.24	OG0000056.0	OG0001861.0	OG0020746.0
1e-07	1e-07	1e-07	1e-07	nan
OG0000479.1	OG0000809.2	OG0000018.289	OG0016128.4	OG0000850.12
1e-07	1e-07	1e-07	nan	1e-07
OG0001218.24	OG0000367.3	OG0000038.0	OG0000577.45	OG0002168.0
1e-07	0.0178535	0.015377100000000001	nan	1e-07
OG0000097.1	OG0008265.0	OG0000026.45	OG0002032.0	OG0001205.24
1e-07	nan	0.0118876	1e-07	1e-07
OG0001315.24	OG0001169.24	OG0002126.0	OG0006968.0	OG0000001.1420
1e-07	1e-07	1e-07	nan	1e-07
OG0000002.1788	OG0002109.0	OG0016681.4	OG0001267.24	OG0001180.24
1e-07	1e-07	nan	1e-07	1e-07
OG0007066.10	OG0001390.24	OG0002319.0	OG0000032.252	OG0001180.24
nan	1e-07	1e-07	1e-07	1e-07
OG0014506.6	OG0001146.1	OG0001461.24	OG0000278.126	OG0000012.918
nan	1e-07	1e-07	1e-07	0.00988241
OG0000010.475	OG0000561.24	OG0000770.1	OG0001297.24	OG0015404.4
1e-07	0.0157297	1e-07	1e-07	nan
OG0000010.475	OG0020896.0	OG0000627.52	OG0001416.0	OG0001289.1
1e-07	nan	1e-07	0.0482929	1e-07
OG0000953.26	OG0001165.26	OG0001288.1	OG0009046.12	OG0000026.45
1e-07	1e-07	1e-07	nan	0.0118876
OG0000007.976	OG0001778.24	OG0002036.0	OG0002233.0	OG0007270.0
1e-07	1e-07	1e-07	1e-07	nan
OG0022253.0	OG0002035.0	OG0001488.22	OG0002085.0	OG0000018.289
nan	1e-07	1e-07	1e-07	1e-07
OG0000011.1	OG0011328.4	OG0000941.24	OG0001456.24	OG0000737.40
1e-07	nan	1e-07	1e-07	1e-07
OG0007588.4	OG0001331.24	OG0001236.24	OG0000082.1	OG0001934.0
nan	1e-07	1e-07	0.05813009999999999	1e-07
OG0000007.976	OG0011584.2	OG0001090.26	OG0002334.0	OG0000901.0
1e-07	nan	1e-07	1e-07	0.0180416
OG0006878.0	OG0001933.0	OG0000685.33	OG0000082.1	OG0001050.0
nan	1e-07	1e-07	0.05813009999999999	1e-07
OG0001330.24	OG0010953.4	OG0001947.0	OG0002090.0	OG0000006.561
1e-07	nan	1e-07	1e-07	0.00745715
OG0001360.24	OG0000011.1	OG0007933.0	OG0001277.24	OG0000369.1
1e-07	1e-07	nan	1e-07	1e-07
OG0000010.475	OG0017987.0	OG0000902.24	OG0001260.24	OG0001849.0
1e-07	nan	1e-07	1e-07	1e-07
OG0000002.1788	OG0020494.0	OG0002123.0	OG0002019.0	OG0000896.1
1e-07	nan	1e-07	1e-07	1e-07
OG0001810.0	OG0000987.19	OG0001512.12	OG0000012.918	OG0010979.0
1e-07	1e-07	0.016323400000000002	0.00988241	nan
OG0000948.24	OG0001247.24	OG0002086.0	OG0000082.1	OG0007626.0
1e-07	1e-07	1e-07	0.05813009999999999	nan
OG0000769.0	OG0001275.26	OG0001298.24	OG0000018.289	OG0007931.1
1e-07	1e-07	1e-07	1e-07	nan
OG0001542.3	OG0000547.0	OG0001145.3	OG0000038.0	OG0008712.0
1e-07	0.0472075	1e-07	0.015377100000000001	nan
OG0000007.976	OG0014555.2	OG0001460.24	OG0002231.0	OG0001584.0
1e-07	nan	1e-07	1e-07	1e-07
OG0000945.1	OG0014808.4	OG0002106.0	OG0000738.19	OG0000006.561
1e-07	nan	1e-07	1e-07	0.00745715
OG0000832.1	OG0002077.0	OG0001132.24	OG0000082.1	OG0000706.25
nan	1e-07	1e-07	0.05813009999999999	1e-07
OG0000627.52	OG0001870.2	OG0000001.1420	OG0000757.29	OG0001160.24
1e-07	1e-07	1e-07	nan	1e-07
OG0015363.2	OG0001228.1	OG0002163.0	OG0000360.67	OG0000001.1420
nan	1e-07	1e-07	0.0158031	1e-07
OG0002088.0	OG0001666.14	OG0016752.0	OG0002319.0	OG0000012.918
1e-07	1e-07	nan	1e-07	0.00988241
OG0001301.24	OG0000010.475	OG0000929.1	OG0007932.0	OG0000900.25
1e-07	1e-07	1e-07	nan	1e-07
OG0001996.0	OG0001256.24	OG0008990.2	OG0001068.1	OG0000018.289
1e-07	1e-07	nan	1e-07	1e-07
OG0001264.24	OG0000026.45	OG0011132.2	OG0000378.2	OG0002065.0
1e-07	0.0118876	nan	1e-07	1e-07
OG0001961.2	OG0016177.4	OG0002080.0	OG0000082.1	OG0001100.24
1e-07	nan	1e-07	0.05813009999999999	1e-07
OG0000627.52	OG0001157.1	OG0000038.0	OG0002334.0	OG0014659.1
1e-07	1e-07	0.015377100000000001	1e-07	nan
OG0002006.0	OG0000378.2	OG0007008.1	OG0000006.561	OG0002052.0
1e-07	1e-07	nan	0.00745715	1e-07
OG0018050.0	OG0002078.0	OG0000834.30	OG0001480.22	OG0000018.289
nan	1e-07	1e-07	1e-07	1e-07
OG0001455.24	OG0002065.0	OG0008224.0	OG0000056.0	OG0001320.26
1e-07	1e-07	nan	1e-07	1e-07
OG0001228.1	OG0000002.1788	OG0000676.120	OG0000367.3	OG0000755.4
1e-07	1e-07	nan	0.0178535	1e-07
OG0014752.4	OG0000018.289	OG0001073.24	OG0000803.36	OG0002009.0
nan	1e-07	1e-07	1e-07	1e-07
OG0000054.0	OG0001735.3	OG0000592.34	OG0004634.3	OG0001273.24
1e-07	1e-07	0.0448259	nan	1e-07
OG0001401.24	OG0001292.1	OG0000242.29	OG0000082.1	OG0018522.0
1e-07	1e-07	1e-07	0.05813009999999999	nan
OG0001453.1	OG0005637.0	OG0000512.25	OG0001097.24	OG0000082.1
1e-07	nan	1e-07	1e-07	0.05813009999999999
OG0001003.24	OG0000000.3448	OG0000941.24	OG0001394.24	OG0000056.0
1e-07	nan	1e-07	1e-07	1e-07
OG0001863.0	OG0000002.1788	OG0001313.24	OG0007346.4	OG0001321.26
1e-07	1e-07	1e-07	nan	1e-07
OG0001303.26	OG0000283.91	OG0001468.24	OG0000977.1	OG0000082.1
1e-07	nan	1e-07	1e-07	0.05813009999999999
OG0001915.0	OG0002097.0	OG0000001.1420	OG0000828.16	OG0014341.0
1e-07	1e-07	1e-07	1e-07	nan
OG0001055.24	OG0001259.24	OG0016178.1	OG0000038.0	OG0001186.24
1e-07	1e-07	nan	0.015377100000000001	1e-07
OG0015391.4	OG0000935.24	OG0001798.0	OG0000018.289	OG0001346.24
nan	1e-07	1e-07	1e-07	1e-07
OG0000007.976	OG0016144.4	OG0001460.24	OG0000948.24	OG0001820.0
1e-07	nan	1e-07	1e-07	0.0184105
OG0001169.24	OG0005772.1	OG0002104.0	OG0000018.289	OG0001402.24
1e-07	nan	1e-07	1e-07	1e-07
OG0001234.24	OG0001339.1	OG0010765.0	OG0001329.24	OG0000026.45
1e-07	1e-07	nan	1e-07	0.0118876
OG0000010.475	OG0012731.2	OG0000600.26	OG0001000.24	OG0001063.0
1e-07	nan	1e-07	1e-07	1e-07
OG0002024.0	OG0001998.0	OG0001629.5	OG0000001.1420	OG0008493.6
1e-07	1e-07	0.0207296	1e-07	nan
OG0000054.0	OG0000637.34	OG0001399.24	OG0009060.0	OG0000906.25
1e-07	1e-07	1e-07	nan	1e-07
OG0001508.1	OG0001076.24	OG0002054.0	OG0000032.252	OG0010528.1
1e-07	1e-07	1e-07	1e-07	nan
OG0000002.1788	OG0000948.24	OG0014691.1	OG0000834.30	OG0001252.1
1e-07	1e-07	nan	1e-07	1e-07
OG0000054.0	OG0000860.24	OG0014841.0	OG0002055.0	OG0001335.24
1e-07	1e-07	nan	1e-07	1e-07
OG0002174.0	OG0000038.0	OG0001313.24	OG0001139.24	OG0001617.1
1e-07	0.015377100000000001	1e-07	1e-07	nan
OG0007307.2	OG0001122.1	OG0001859.0	OG0001364.24	OG0000012.918
nan	1e-07	1e-07	1e-07	0.00988241
OG0000054.0	OG0001394.24	OG0000822.0	OG0002080.0	OG0019409.0
1e-07	1e-07	1e-07	1e-07	nan
OG0001307.24	OG0000026.45	OG0001247.24	OG0016180.0	OG0002058.0
1e-07	0.0118876	1e-07	nan	1e-07
OG0000054.0	OG0002051.0	OG0000976.24	OG0006508.0	OG0001553.14
1e-07	1e-07	1e-07	nan	0.018311599999999997
OG0013202.0	OG0000011.1	OG0001246.24	OG0002027.0	OG0001309.24
nan	1e-07	1e-07	1e-07	1e-07
OG0001085.24	OG0018011.0	OG0002138.0	OG0000830.1	OG0000032.252
1e-07	nan	1e-07	1e-07	1e-07
OG0012729.10	OG0002252.0	OG0001460.24	OG0000038.0	OG0001649.0
nan	1e-07	1e-07	0.015377100000000001	1e-07
OG0002122.0	OG0008678.1	OG0000002.1788	OG0001456.24	OG0001070.26
1e-07	nan	1e-07	1e-07	1e-07
OG0001246.24	OG0014555.2	OG0002128.0	OG0000001.1420	OG0001184.24
1e-07	nan	1e-07	1e-07	1e-07
OG0001996.0	OG0002096.0	OG0001162.22	OG0000001.1420	OG0006959.0
1e-07	1e-07	1e-07	1e-07	nan
OG0002063.0	OG0010970.0	OG0000056.0	OG0001249.1	OG0001263.26
1e-07	nan	1e-07	1e-07	1e-07
OG0002134.0	OG0000861.24	OG0008758.2	OG0000038.0	OG0000853.1
1e-07	0.0162578	nan	0.015377100000000001	1e-07
OG0000397.30	OG0001244.24	OG0000082.1	OG0012951.0	OG0000415.0
1e-07	1e-07	0.05813009999999999	nan	0.048802099999999994
OG0017870.2	OG0000915.28	OG0001584.0	OG0000082.1	OG0001137.24
nan	1e-07	1e-07	0.05813009999999999	1e-07
OG0000816.36	OG0001226.24	OG0001167.24	OG0000082.1	OG0018408.0
1e-07	1e-07	1e-07	0.05813009999999999	nan
OG0000007.976	OG0002151.0	OG0001382.24	OG0010981.0	OG0001954.0
1e-07	1e-07	1e-07	nan	1e-07
OG0001226.24	OG0000820.2	OG0000678.1	OG0000032.252	OG0011573.0
1e-07	1e-07	1e-07	1e-07	nan
OG0001996.0	OG0001095.25	OG0000615.1	OG0020744.0	OG0000056.0
1e-07	1e-07	1e-07	nan	1e-07
OG0007618.0	OG0000026.45	OG0002036.0	OG0001162.22	OG0001271.1
nan	0.0118876	1e-07	1e-07	1e-07
OG0000054.0	OG0018464.2	OG0002159.0	OG0002174.0	OG0002214.0
1e-07	nan	1e-07	1e-07	1e-07
OG0000011.1	OG0002083.0	OG0022208.0	OG0002070.0	OG0001172.24
1e-07	1e-07	nan	1e-07	1e-07
OG0012034.0	OG0001149.24	OG0001999.0	OG0000936.24	OG0000056.0
nan	1e-07	1e-07	1e-07	1e-07
OG0000919.32	OG0000002.1788	OG0013252.2	OG0001000.24	OG0001319.1
1e-07	1e-07	nan	1e-07	1e-07
OG0002102.0	OG0001245.24	OG0013173.1	OG0000001.1420	OG0000803.36
1e-07	1e-07	nan	1e-07	1e-07
OG0000007.976	OG0002102.0	OG0002003.1	OG0018845.0	OG0001637.1
1e-07	1e-07	1e-07	nan	1e-07
OG0000002.1788	OG0011000.0	OG0001030.26	OG0002003.1	OG0002070.0
1e-07	nan	1e-07	1e-07	1e-07
OG0009195.0	OG0000975.0	OG0000002.1788	OG0000860.24	OG0001029.24
nan	1e-07	1e-07	1e-07	1e-07
OG0002050.0	OG0000347.80	OG0001142.24	OG0007932.0	OG0000006.561
1e-07	0.09197000000000001	1e-07	nan	0.00745715
OG0010628.2	OG0000002.1788	OG0001455.24	OG0000909.26	OG0000518.24
nan	1e-07	1e-07	1e-07	1e-07
OG0000002.1788	OG0001431.24	OG0018140.2	OG0001801.0	OG0001249.1
1e-07	1e-07	nan	1e-07	1e-07
OG0002130.0	OG0000460.47	OG0016814.0	OG0000700.36	OG0000032.252
1e-07	1e-07	nan	0.016628099999999996	1e-07
OG0000007.976	OG0001043.2	OG0001297.24	OG0001859.0	OG0016288.4
1e-07	1e-07	1e-07	1e-07	nan
OG0002102.0	OG0016916.0	OG0001247.24	OG0001540.26	OG0000018.289
1e-07	nan	1e-07	1e-07	1e-07
OG0013928.0	OG0002102.0	OG0002244.0	OG0002013.0	OG0000006.561
nan	1e-07	1e-07	1e-07	0.00745715
OG0010089.0	OG0001445.24	OG0002252.0	OG0001190.24	OG0000038.0
nan	1e-07	1e-07	1e-07	0.015377100000000001
OG0002067.0	OG0000987.19	OG0001803.6	OG0010802.0	OG0000012.918
1e-07	1e-07	1e-07	nan	0.00988241
OG0000007.976	OG0001194.24	OG0014802.1	OG0002077.0	OG0000700.36
1e-07	1e-07	nan	1e-07	0.016628099999999996
OG0001292.1	OG0001512.12	OG0001397.24	OG0016983.0	OG0000056.0
1e-07	0.016323400000000002	1e-07	nan	1e-07
OG0000011.1	OG0002060.0	OG0007918.0	OG0001364.24	OG0001379.1
1e-07	1e-07	nan	1e-07	1e-07
OG0001435.1	OG0016127.4	OG0000101.90	OG0000038.0	OG0000976.24
1e-07	nan	1e-07	0.015377100000000001	1e-07
OG0001855.4	OG0001553.14	OG0000026.45	OG0020641.0	OG0002233.0
1e-07	0.018311599999999997	0.0118876	nan	1e-07
OG0001071.1	OG0000011.1	OG0001303.26	OG0001353.24	OG0014675.4
1e-07	1e-07	1e-07	1e-07	nan
OG0020616.0	OG0002225.0	OG0001963.0	OG0000001.1420	OG0000339.0
nan	1e-07	1e-07	1e-07	0.0131843
OG0015777.0	OG0001764.0	OG0000038.0	OG0001865.0	OG0001092.1
nan	1e-07	0.015377100000000001	1e-07	1e-07
OG0000000.626	OG0000367.3	OG0000894.25	OG0000001.1420	OG0011934.2
1e-07	0.0178535	1e-07	1e-07	nan
OG0001661.0	OG0002123.0	OG0015368.2	OG0001457.24	OG0000082.1
0.029935800000000002	1e-07	nan	1e-07	0.05813009999999999
OG0001772.0	OG0001667.0	OG0000026.45	OG0002097.0	OG0000007.338
1e-07	1e-07	0.0118876	1e-07	nan
OG0000054.0	OG0001855.4	OG0000588.0	OG0000767.24	OG0016979.0
1e-07	1e-07	1e-07	0.0193226	nan
OG0000007.976	OG0001562.24	OG0017147.0	OG0001235.24	OG0001674.0
1e-07	1e-07	nan	1e-07	0.0122275
OG0001961.2	OG0001418.30	OG0010969.0	OG0000032.252	OG0001511.22
1e-07	1e-07	nan	1e-07	1e-07
OG0000054.0	OG0000577.45	OG0001093.24	OG0001480.22	OG0001008.28
1e-07	nan	1e-07	1e-07	1e-07
OG0001129.24	OG0000026.45	OG0001847.4	OG0014717.1	OG0002057.0
1e-07	0.0118876	1e-07	nan	1e-07
OG0007566.10	OG0001409.1	OG0001442.1	OG0002233.0	OG0000012.918
nan	1e-07	1e-07	1e-07	0.00988241
OG0001821.4	OG0001516.22	OG0000032.252	OG0000925.1	OG0011913.0
0.0173771	1e-07	1e-07	0.015247899999999998	nan
OG0000054.0	OG0000101.90	OG0002053.0	OG0001078.24	OG0020859.0
1e-07	1e-07	1e-07	1e-07	nan
OG0002164.0	OG0020422.0	OG0000865.1	OG0001384.1	OG0000006.561
1e-07	nan	0.0430329	1e-07	0.00745715
OG0001502.26	OG0002140.0	OG0000918.1	OG0000276.63	OG0000056.0
1e-07	1e-07	1e-07	nan	1e-07
OG0000054.0	OG0001125.24	OG0002110.0	OG0005497.18	OG0001144.24
1e-07	1e-07	1e-07	nan	1e-07
